tempo_bpm,103.3594
beat_time_s
1.555737
2.136236
2.739955
3.320454
3.900952
4.481451
5.061950
5.642449
6.222948
6.803447
7.383946
7.964444
8.521723
9.125442
9.705941
10.286440
10.866939
11.447438
12.027937
12.585215
13.165714
13.746213
14.303492
14.883991
15.464490
16.068209
16.625488
17.205986
17.763265
18.343764
18.924263
19.527982
20.108481
20.665760
21.199819
21.780317
